# input file for SMUDGE.PRO
# LOCATION <tab> UNIT <tab> LABEL <tab> KEYWORDS
# NOTE: This file is also readable by RDB.PRO
%LOC	UNITS	LABEL	KEYWORDS
%N	S	S	S

# examples
9.278	keV	Fe XXVI  K	Fe XXVI  K-edge edgeenergy
9.134	keV	Ni XX    K	Ni XX    K-edge edgeenergy
8.992	keV	Ni XIX   K	Ni XIX   K-edge edgeenergy
8.937	keV	Ni XVIII K	Ni XVIII K-edge edgeenergy
8.883	keV	Ni XVII  K	Ni XVII  K-edge edgeenergy
8.829	keV	Ni XVI   K	Ni XVI   K-edge edgeenergy
8.775	keV	Ni XV    K	Ni XV    K-edge edgeenergy
8.755	keV	Fe XXV   K	Fe XXV   K-edge edgeenergy
8.724	keV	Ni XIV   K	Ni XIV   K-edge edgeenergy
8.675	keV	Ni XIII  K	Ni XIII  K-edge edgeenergy
8.628	keV	Ni XII   K	Ni XII   K-edge edgeenergy
8.621	keV	Fe XXIV  K	Fe XXIV  K-edge edgeenergy
8.582	keV	Ni XI    K	Ni XI    K-edge edgeenergy
8.541	keV	Ni X     K	Ni X     K-edge edgeenergy
8.503	keV	Ni IX    K	Ni IX    K-edge edgeenergy
8.482	keV	Fe XXIII K	Fe XXIII K-edge edgeenergy
8.468	keV	Ni VIII  K	Ni VIII  K-edge edgeenergy
8.435	keV	Ni VII   K	Ni VII   K-edge edgeenergy
8.404	keV	Ni VI    K	Ni VI    K-edge edgeenergy
8.384	keV	Fe XXII  K	Fe XXII  K-edge edgeenergy
8.377	keV	Ni V     K	Ni V     K-edge edgeenergy
8.353	keV	Ni IV    K	Ni IV    K-edge edgeenergy
8.332	keV	Ni III   K	Ni III   K-edge edgeenergy
8.315	keV	Ni II    K	Ni II    K-edge edgeenergy
8.313	keV	Ni I     K	Ni I     K-edge edgeenergy
8.286	keV	Fe XXI   K	Fe XXI   K-edge edgeenergy
8.187	keV	Fe XX    K	Fe XX    K-edge edgeenergy
8.088	keV	Fe XIX   K	Fe XIX   K-edge edgeenergy
7.989	keV	Fe XVIII K	Fe XVIII K-edge edgeenergy
7.891	keV	Fe XVII  K	Fe XVII  K-edge edgeenergy
7.838	keV	Fe XVI   K	Fe XVI   K-edge edgeenergy
7.788	keV	Fe XV    K	Fe XV    K-edge edgeenergy
7.737	keV	Fe XIV   K	Fe XIV   K-edge edgeenergy
7.686	keV	Fe XIII  K	Fe XIII  K-edge edgeenergy
7.636	keV	Fe XII   K	Fe XII   K-edge edgeenergy
7.585	keV	Fe XI    K	Fe XI    K-edge edgeenergy
7.535	keV	Fe X     K	Fe X     K-edge edgeenergy
7.486	keV	Fe IX    K	Fe IX    K-edge edgeenergy
7.44	keV	Fe VIII  K	Fe VIII  K-edge edgeenergy
7.394	keV	Fe VII   K	Fe VII   K-edge edgeenergy
7.348	keV	Fe VI    K	Fe VI    K-edge edgeenergy
7.301	keV	Fe V     K	Fe V     K-edge edgeenergy
7.256	keV	Fe IV    K	Fe IV    K-edge edgeenergy
7.21	keV	Fe III   K	Fe III   K-edge edgeenergy
7.164	keV	Fe II    K	Fe II    K-edge edgeenergy
7.117	keV	Fe I     K	Fe I     K-edge edgeenergy
5.47	keV	Ca XX    K	Ca XX    K-edge edgeenergy
5.129	keV	Ca XIX   K	Ca XIX   K-edge edgeenergy
5.003	keV	Ca XVIII K	Ca XVIII K-edge edgeenergy
4.904	keV	Ca XVII  K	Ca XVII  K-edge edgeenergy
4.793	keV	Ca XVI   K	Ca XVI   K-edge edgeenergy
4.686	keV	Ca XV    K	Ca XV    K-edge edgeenergy
4.582	keV	Ca XIV   K	Ca XIV   K-edge edgeenergy
4.486	keV	Ca XIII  K	Ca XIII  K-edge edgeenergy
4.406	keV	Ar XVIII K	Ar XVIII K-edge edgeenergy
4.39	keV	Ca XII   K	Ca XII   K-edge edgeenergy
4.301	keV	Ca XI    K	Ca XI    K-edge edgeenergy
4.267	keV	Ca X     K	Ca X     K-edge edgeenergy
4.235	keV	Ca IX    K	Ca IX    K-edge edgeenergy
4.204	keV	Ca VIII  K	Ca VIII  K-edge edgeenergy
4.174	keV	Ca VII   K	Ca VII   K-edge edgeenergy
4.147	keV	Ca VI    K	Ca VI    K-edge edgeenergy
4.122	keV	Ca V     K	Ca V     K-edge edgeenergy
4.105	keV	Ar XVII  K	Ar XVII  K-edge edgeenergy
4.099	keV	Ca IV    K	Ca IV    K-edge edgeenergy
4.078	keV	Ca III   K	Ca III   K-edge edgeenergy
4.069	keV	Ca I     K	Ca I     K-edge edgeenergy
4.069	keV	Ca II    K	Ca II    K-edge edgeenergy
4.014	keV	Ar XVI   K	Ar XVI   K-edge edgeenergy
3.926	keV	Ar XV    K	Ar XV    K-edge edgeenergy
3.828	keV	Ar XIV   K	Ar XIV   K-edge edgeenergy
3.733	keV	Ar XIII  K	Ar XIII  K-edge edgeenergy
3.643	keV	Ar XII   K	Ar XII   K-edge edgeenergy
3.558	keV	Ar XI    K	Ar XI    K-edge edgeenergy
3.494	keV	S XVI    K	S XVI    K-edge edgeenergy
3.477	keV	Ar X     K	Ar X     K-edge edgeenergy
3.4	keV	Ar IX    K	Ar IX    K-edge edgeenergy
3.372	keV	Ar VIII  K	Ar VIII  K-edge edgeenergy
3.345	keV	Ar VII   K	Ar VII   K-edge edgeenergy
3.32	keV	Ar VI    K	Ar VI    K-edge edgeenergy
3.297	keV	Ar V     K	Ar V     K-edge edgeenergy
3.276	keV	Ar IV    K	Ar IV    K-edge edgeenergy
3.257	keV	Ar III   K	Ar III   K-edge edgeenergy
3.24	keV	Ar II    K	Ar II    K-edge edgeenergy
3.226	keV	Ar I     K	Ar I     K-edge edgeenergy
3.214	keV	S XV     K	S XV     K-edge edgeenergy
3.134	keV	S XIV    K	S XIV    K-edge edgeenergy
3.057	keV	S XIII   K	S XIII   K-edge edgeenergy
2.971	keV	S XII    K	S XII    K-edge edgeenergy
2.889	keV	S XI     K	S XI     K-edge edgeenergy
2.812	keV	S X      K	S X      K-edge edgeenergy
2.74	keV	S IX     K	S IX     K-edge edgeenergy
2.673	keV	Si XIV   K	Si XIV   K-edge edgeenergy
2.672	keV	S VIII   K	S VIII   K-edge edgeenergy
2.608	keV	S VII    K	S VII    K-edge edgeenergy
2.585	keV	S VI     K	S VI     K-edge edgeenergy
2.564	keV	S V      K	S V      K-edge edgeenergy
2.545	keV	S IV     K	S IV     K-edge edgeenergy
2.529	keV	S III    K	S III    K-edge edgeenergy
2.514	keV	S II     K	S II     K-edge edgeenergy
2.502	keV	S I      K	S I      K-edge edgeenergy
2.432	keV	Si XIII  K	Si XIII  K-edge edgeenergy
2.399	keV	Ni XXVI  LS	Ni XXVI  LS-edge edgeenergy
2.363	keV	Si XII   K	Si XII   K-edge edgeenergy
2.296	keV	Si XI    K	Si XI    K-edge edgeenergy
2.295	keV	Ni XXV   LS	Ni XXV   LS-edge edgeenergy
2.224	keV	Si X     K	Si X     K-edge edgeenergy
2.184	keV	Ni XXIV  LS	Ni XXIV  LS-edge edgeenergy
2.155	keV	Si IX    K	Si IX    K-edge edgeenergy
2.131	keV	Ni XXIV  LP	Ni XXIV  LP-edge edgeenergy
2.09	keV	Si VIII  K	Si VIII  K-edge edgeenergy
2.077	keV	Ni XXIII LS	Ni XXIII LS-edge edgeenergy
2.046	keV	Fe XXIV  LS	Fe XXIV  LS-edge edgeenergy
2.031	keV	Si VII   K	Si VII   K-edge edgeenergy
2.011	keV	Ni XXIII LP	Ni XXIII LP-edge edgeenergy
1.976	keV	Si VI    K	Si VI    K-edge edgeenergy
1.965	keV	Ni XXII  LS	Ni XXII  LS-edge edgeenergy
1.963	keV	Mg XII   K	Mg XII   K-edge edgeenergy
1.95	keV	Fe XXIII LS	Fe XXIII LS-edge edgeenergy
1.926	keV	Si V     K	Si V     K-edge edgeenergy
1.909	keV	Si IV    K	Si IV    K-edge edgeenergy
1.894	keV	Ni XXII  LP	Ni XXII  LP-edge edgeenergy
1.893	keV	Si III   K	Si III   K-edge edgeenergy
1.881	keV	Si II    K	Si II    K-edge edgeenergy
1.871	keV	Si I     K	Si I     K-edge edgeenergy
1.87	keV	Ni XXI   LS	Ni XXI   LS-edge edgeenergy
1.847	keV	Fe XXII  LS	Fe XXII  LS-edge edgeenergy
1.799	keV	Fe XXII  LP	Fe XXII  LP-edge edgeenergy
1.762	keV	Mg XI    K	Mg XI    K-edge edgeenergy
1.76	keV	Ni XX    LS	Ni XX    LS-edge edgeenergy
1.756	keV	Ni XXI   LP	Ni XXI   LP-edge edgeenergy
1.745	keV	Fe XXI   LS	Fe XXI   LS-edge edgeenergy
1.701	keV	Mg X     K	Mg X     K-edge edgeenergy
1.689	keV	Fe XXI   LP	Fe XXI   LP-edge edgeenergy
1.669	keV	Ni XIX   LS	Ni XIX   LS-edge edgeenergy
1.648	keV	Fe XX    LS	Fe XX    LS-edge edgeenergy
1.648	keV	Ni XX    LP	Ni XX    LP-edge edgeenergy
1.646	keV	Mg IX    K	Mg IX    K-edge edgeenergy
1.618	keV	Ni XVIII LS	Ni XVIII LS-edge edgeenergy
1.586	keV	Mg VIII  K	Mg VIII  K-edge edgeenergy
1.582	keV	Fe XX    LP	Fe XX    LP-edge edgeenergy
1.569	keV	Ni XVII  LS	Ni XVII  LS-edge edgeenergy
1.559	keV	Fe XIX   LS	Fe XIX   LS-edge edgeenergy
1.541	keV	Ni XIX   LP	Ni XIX   LP-edge edgeenergy
1.519	keV	Ni XVI   LS	Ni XVI   LS-edge edgeenergy
1.506	keV	Ni XVIII LP	Ni XVIII LP-edge edgeenergy
1.5	keV	Mg VII   K	Mg VII   K-edge edgeenergy
1.478	keV	Mg VI    K	Mg VI    K-edge edgeenergy
1.471	keV	Ni XV    LS	Ni XV    LS-edge edgeenergy
1.46	keV	Fe XVIII LS	Fe XVIII LS-edge edgeenergy
1.456	keV	Fe XIX   LP	Fe XIX   LP-edge edgeenergy
1.456	keV	Ni XVII  LP	Ni XVII  LP-edge edgeenergy
1.432	keV	Mg V     K	Mg V     K-edge edgeenergy
1.419	keV	Ni XIV   LS	Ni XIV   LS-edge edgeenergy
1.405	keV	Ni XVI   LP	Ni XVI   LP-edge edgeenergy
1.391	keV	Mg IV    K	Mg IV    K-edge edgeenergy
1.379	keV	Ni XIII  LS	Ni XIII  LS-edge edgeenergy
1.375	keV	Fe XVII  LS	Fe XVII  LS-edge edgeenergy
1.362	keV	Ne X     K	Ne X     K-edge edgeenergy
1.358	keV	Fe XVIII LP	Fe XVIII LP-edge edgeenergy
1.356	keV	Ni XV    LP	Ni XV    LP-edge edgeenergy
1.354	keV	Mg III   K	Mg III   K-edge edgeenergy
1.343	keV	Mg II    K	Mg II    K-edge edgeenergy
1.334	keV	Mg I     K	Mg I     K-edge edgeenergy
1.329	keV	Fe XVI   LS	Fe XVI   LS-edge edgeenergy
1.328	keV	Ni XII   LS	Ni XII   LS-edge edgeenergy
1.299	keV	Ni XIV   LP	Ni XIV   LP-edge edgeenergy
1.293	keV	Ni XI    LS	Ni XI    LS-edge edgeenergy
1.287	keV	Fe XV    LS	Fe XV    LS-edge edgeenergy
1.262	keV	Fe XVII  LP	Fe XVII  LP-edge edgeenergy
1.262	keV	Ni XIII  LP	Ni XIII  LP-edge edgeenergy
1.251	keV	Ni X     LS	Ni X     LS-edge edgeenergy
1.24	keV	Fe XIV   LS	Fe XIV   LS-edge edgeenergy
1.216	keV	Fe XVI   LP	Fe XVI   LP-edge edgeenergy
1.211	keV	Ni IX    LS	Ni IX    LS-edge edgeenergy
1.207	keV	Ni XII   LP	Ni XII   LP-edge edgeenergy
1.197	keV	Fe XIII  LS	Fe XIII  LS-edge edgeenergy
1.196	keV	Ne IX    K	Ne IX    K-edge edgeenergy
1.181	keV	Fe XV    LP	Fe XV    LP-edge edgeenergy
1.174	keV	Ni VIII  LS	Ni VIII  LS-edge edgeenergy
1.174	keV	Ni XI    LP	Ni XI    LP-edge edgeenergy
1.157	keV	Ca XVIII LS	Ca XVIII LS-edge edgeenergy
1.155	keV	Fe XII   LS	Fe XII   LS-edge edgeenergy
1.139	keV	Ni VII   LS	Ni VII   LS-edge edgeenergy
1.132	keV	Ni X     LP	Ni X     LP-edge edgeenergy
1.125	keV	Ne VIII  K	Ne VIII  K-edge edgeenergy
1.125	keV	Fe XIV   LP	Fe XIV   LP-edge edgeenergy
1.115	keV	Fe XI    LS	Fe XI    LS-edge edgeenergy
1.112	keV	Ni VI    LS	Ni VI    LS-edge edgeenergy
1.092	keV	Ni IX    LP	Ni IX    LP-edge edgeenergy
1.087	keV	Ca XVII  LS	Ca XVII  LS-edge edgeenergy
1.081	keV	Fe XIII  LP	Fe XIII  LP-edge edgeenergy
1.078	keV	Ne VII   K	Ne VII   K-edge edgeenergy
1.077	keV	Ni V     LS	Ni V     LS-edge edgeenergy
1.076	keV	Fe X     LS	Fe X     LS-edge edgeenergy
1.059	keV	Ni IV    LS	Ni IV    LS-edge edgeenergy
1.051	keV	Ni VIII  LP	Ni VIII  LP-edge edgeenergy
1.039	keV	Fe IX    LS	Fe IX    LS-edge edgeenergy
1.039	keV	Fe XII   LP	Fe XII   LP-edge edgeenergy
1.031	keV	Ne VI    K	Ne VI    K-edge edgeenergy
1.028	keV	Ni III   LS	Ni III   LS-edge edgeenergy
1.024	keV	Ni I     LS	Ni I     LS-edge edgeenergy
1.019	keV	Ni VII   LP	Ni VII   LP-edge edgeenergy
1.009	keV	Ni II    LS	Ni II    LS-edge edgeenergy
1.008	keV	Ca XVI   LS	Ca XVI   LS-edge edgeenergy
1.003	keV	Fe VIII  LS	Fe VIII  LS-edge edgeenergy
0.9983	keV	Fe XI    LP	Fe XI    LP-edge edgeenergy
0.9886	keV	Ni VI    LP	Ni VI    LP-edge edgeenergy
0.9873	keV	Ne V     K	Ne V     K-edge edgeenergy
0.9745	keV	Ca XVI   LP	Ca XVI   LP-edge edgeenergy
0.9693	keV	Fe VII   LS	Fe VII   LS-edge edgeenergy
0.959	keV	Fe X     LP	Fe X     LP-edge edgeenergy
0.9576	keV	Ni V     LP	Ni V     LP-edge edgeenergy
0.948	keV	Ne IV    K	Ne IV    K-edge edgeenergy
0.9383	keV	Fe VI    LS	Fe VI    LS-edge edgeenergy
0.9358	keV	Ni IV    LP	Ni IV    LP-edge edgeenergy
0.9357	keV	Ca XV    LS	Ca XV    LS-edge edgeenergy
0.9211	keV	Fe IX    LP	Fe IX    LP-edge edgeenergy
0.918	keV	Ar XVI   LS	Ar XVI   LS-edge edgeenergy
0.9131	keV	Ne III   K	Ne III   K-edge edgeenergy
0.9101	keV	Fe V     LS	Fe V     LS-edge edgeenergy
0.9084	keV	Ni III   LP	Ni III   LP-edge edgeenergy
0.8946	keV	Ca XV    LP	Ca XV    LP-edge edgeenergy
0.8849	keV	Fe IV    LS	Fe IV    LS-edge edgeenergy
0.8849	keV	Fe VIII  LP	Fe VIII  LP-edge edgeenergy
0.8831	keV	Ne II    K	Ne II    K-edge edgeenergy
0.876	keV	Ni I     LP	Ni I     LP-edge edgeenergy
0.8753	keV	Ni II    LP	Ni II    LP-edge edgeenergy
0.8714	keV	O VIII   K	O VIII   K-edge edgeenergy
0.8701	keV	Ne I     K	Ne I     K-edge edgeenergy
0.8642	keV	Ca XIV   LS	Ca XIV   LS-edge edgeenergy
0.8631	keV	Fe III   LS	Fe III   LS-edge edgeenergy
0.857	keV	Fe I     LS	Fe I     LS-edge edgeenergy
0.8548	keV	Ar XV    LS	Ar XV    LS-edge edgeenergy
0.8521	keV	Fe II    LS	Fe II    LS-edge edgeenergy
0.8512	keV	Fe VII   LP	Fe VII   LP-edge edgeenergy
0.8202	keV	Fe VI    LP	Fe VI    LP-edge edgeenergy
0.8177	keV	Ca XIV   LP	Ca XIV   LP-edge edgeenergy
0.7968	keV	Ca XIII  LS	Ca XIII  LS-edge edgeenergy
0.792	keV	Fe V     LP	Fe V     LP-edge edgeenergy
0.7856	keV	Ar XIV   LS	Ar XIV   LS-edge edgeenergy
0.7669	keV	Fe IV    LP	Fe IV    LP-edge edgeenergy
0.7558	keV	Ar XIV   LP	Ar XIV   LP-edge edgeenergy
0.7451	keV	Fe III   LP	Fe III   LP-edge edgeenergy
0.7393	keV	O VII    K	O VII    K-edge edgeenergy
0.7341	keV	Fe II    LP	Fe II    LP-edge edgeenergy
0.7287	keV	Ca XII   LS	Ca XII   LS-edge edgeenergy
0.7267	keV	Ca XIII  LP	Ca XIII  LP-edge edgeenergy
0.724	keV	Fe I     LP	Fe I     LP-edge edgeenergy
0.7217	keV	Ar XIII  LS	Ar XIII  LS-edge edgeenergy
0.7072	keV	S XIV    LS	S XIV    LS-edge edgeenergy
0.6861	keV	Ar XIII  LP	Ar XIII  LP-edge edgeenergy
0.6837	keV	O VI     K	O VI     K-edge edgeenergy
0.6671	keV	N VII    K	N VII    K-edge edgeenergy
0.6649	keV	Ca XI    LS	Ca XI    LS-edge edgeenergy
0.6584	keV	Ar XII   LS	Ar XII   LS-edge edgeenergy
0.6572	keV	Ca XII   LP	Ca XII   LP-edge edgeenergy
0.6517	keV	S XIII   LS	S XIII   LS-edge edgeenergy
0.6491	keV	O V      K	O V      K-edge edgeenergy
0.6326	keV	Ca X     LS	Ca X     LS-edge edgeenergy
0.6183	keV	Ar XII   LP	Ar XII   LP-edge edgeenergy
0.6144	keV	O IV     K	O IV     K-edge edgeenergy
0.6071	keV	Ni XVIII MS	Ni XVIII MS-edge edgeenergy
0.6018	keV	Ca IX    LS	Ca IX    LS-edge edgeenergy
0.5992	keV	Ar XI    LS	Ar XI    LS-edge edgeenergy
0.5919	keV	Ca XI    LP	Ca XI    LP-edge edgeenergy
0.5906	keV	S XII    LS	S XII    LS-edge edgeenergy
0.584	keV	O III    K	O III    K-edge edgeenergy
0.5732	keV	Ca VIII  LS	Ca VIII  LS-edge edgeenergy
0.5713	keV	Ni XVII  MS	Ni XVII  MS-edge edgeenergy
0.5647	keV	S XII    LP	S XII    LP-edge edgeenergy
0.5581	keV	O II     K	O II     K-edge edgeenergy
0.5569	keV	Ca X     LP	Ca X     LP-edge edgeenergy
0.5521	keV	N VI     K	N VI     K-edge edgeenergy
0.5455	keV	Ca VII   LS	Ca VII   LS-edge edgeenergy
0.5403	keV	Ar X     LS	Ar X     LS-edge edgeenergy
0.539	keV	Ar XI    LP	Ar XI    LP-edge edgeenergy
0.538	keV	O I      K	O I      K-edge edgeenergy
0.5347	keV	Ni XVI   MS	Ni XVI   MS-edge edgeenergy
0.5346	keV	S XI     LS	S XI     LS-edge edgeenergy
0.527	keV	Ca IX    LP	Ca IX    LP-edge edgeenergy
0.5235	keV	Si XII   LS	Si XII   LS-edge edgeenergy
0.5193	keV	Ca VI    LS	Ca VI    LS-edge edgeenergy
0.5048	keV	S XI     LP	S XI     LP-edge edgeenergy
0.5043	keV	N V      K	N V      K-edge edgeenergy
0.4988	keV	Ni XV    MS	Ni XV    MS-edge edgeenergy
0.4984	keV	Ni XVI   MP	Ni XVI   MP-edge edgeenergy
0.4967	keV	Ca VIII  LP	Ca VIII  LP-edge edgeenergy
0.4948	keV	Ca V     LS	Ca V     LS-edge edgeenergy
0.49	keV	C VI     K	C VI     K-edge edgeenergy
0.4893	keV	Fe XVI   MS	Fe XVI   MS-edge edgeenergy
0.4845	keV	Ar IX    LS	Ar IX    LS-edge edgeenergy
0.4804	keV	S X      LS	S X      LS-edge edgeenergy
0.4787	keV	Ar X     LP	Ar X     LP-edge edgeenergy
0.4761	keV	Si XI    LS	Si XI    LS-edge edgeenergy
0.4753	keV	N IV     K	N IV     K-edge edgeenergy
0.4719	keV	Ca IV    LS	Ca IV    LS-edge edgeenergy
0.4687	keV	Ca VII   LP	Ca VII   LP-edge edgeenergy
0.4637	keV	Ni XV    MP	Ni XV    MP-edge edgeenergy
0.462	keV	Ni XIV   MS	Ni XIV   MS-edge edgeenergy
0.457	keV	Ar VIII  LS	Ar VIII  LS-edge edgeenergy
0.457	keV	Fe XV    MS	Fe XV    MS-edge edgeenergy
0.4507	keV	Ca III   LS	Ca III   LS-edge edgeenergy
0.4473	keV	N III    K	N III    K-edge edgeenergy
0.4471	keV	S X      LP	S X      LP-edge edgeenergy
0.4425	keV	Ca I     LS	Ca I     LS-edge edgeenergy
0.4423	keV	Ca VI    LP	Ca VI    LP-edge edgeenergy
